Time,Movement,Light,Temperature,Humidity,Sound
02:39:26,0,44,21.50,36.00,1
02:39:27,0,40,21.50,36.00,1
02:39:28,0,44,21.50,36.00,1
02:39:29,0,40,21.50,36.00,1
02:39:30,0,44,21.50,36.00,1
02:39:31,0,40,21.50,36.00,1
02:39:32,0,44,21.50,36.00,1
02:39:33,0,41,21.50,36.00,1
02:39:34,0,44,21.50,36.00,1
02:39:35,0,41,21.50,36.00,1
02:39:36,0,44,21.50,36.00,1
02:39:37,0,40,21.50,36.00,1
02:39:38,0,44,21.50,36.00,1
02:39:39,0,40,21.50,36.00,1
02:39:40,0,44,21.50,36.00,1
02:39:41,0,41,21.50,36.00,1
02:39:42,0,44,21.50,36.00,1
02:39:43,0,40,21.50,36.00,1
02:39:44,0,44,21.50,36.00,1
02:39:45,0,40,21.50,36.00,1
02:39:46,0,44,21.50,36.00,1
02:39:47,0,40,21.50,36.00,1
02:39:48,0,44,21.50,36.00,1
02:39:49,0,40,21.50,36.00,1
02:39:50,0,44,21.50,36.00,1
02:39:51,0,40,21.50,36.00,1
02:39:52,0,44,21.50,36.00,1
02:39:53,0,40,21.50,36.00,1
02:39:54,0,44,21.50,36.00,1
02:39:55,0,40,21.50,36.00,1
02:39:56,0,44,21.50,36.00,1
02:39:57,0,40,21.50,36.00,1
02:39:58,0,44,21.50,36.00,1
02:39:59,0,40,21.50,36.00,1
02:40:00,0,44,21.50,36.00,1
02:40:01,0,40,21.50,36.00,1
02:40:02,0,44,21.50,36.00,1
02:40:03,0,40,21.50,36.00,1
02:40:04,0,44,21.50,36.00,1
02:40:05,0,40,21.50,36.00,1
02:40:06,0,44,21.50,36.00,1
02:40:07,0,41,21.50,36.00,1
02:40:08,0,45,21.50,36.00,1
02:40:09,0,40,21.50,36.00,1
02:40:11,0,44,21.50,36.00,1
02:40:12,0,40,21.50,36.00,1
02:40:13,0,44,21.50,37.00,1
02:40:14,0,40,21.50,37.00,1
02:40:15,0,44,21.50,36.00,1
02:40:16,0,40,21.50,36.00,1
02:40:17,0,44,21.50,36.00,1
02:40:18,0,41,21.50,36.00,1
02:40:19,0,44,21.50,37.00,1
02:40:20,0,40,21.50,37.00,1
02:40:21,0,44,21.50,36.00,1
02:40:22,0,41,21.50,36.00,1
02:40:23,0,44,21.50,36.00,1
02:40:24,0,40,21.50,36.00,1
02:40:25,0,44,21.50,37.00,1
02:40:26,0,40,21.50,37.00,1
02:40:27,0,45,21.50,37.00,1
02:40:28,0,40,21.50,37.00,1
02:40:29,0,44,21.50,37.00,1
02:40:30,0,40,21.50,37.00,1
02:40:31,0,44,21.50,37.00,1
02:40:32,0,41,21.50,37.00,1
02:40:33,0,44,21.50,37.00,1
02:40:34,0,41,21.50,37.00,1
02:40:35,0,44,21.50,37.00,1
02:40:36,0,40,21.50,37.00,1
02:40:37,0,44,21.50,37.00,1
02:40:38,0,40,21.50,37.00,1
02:40:39,0,44,21.50,37.00,1
02:40:40,0,41,21.50,37.00,1
02:40:41,0,44,21.50,36.00,1
02:40:42,0,40,21.50,36.00,1
02:40:43,0,44,21.50,37.00,1
02:40:44,0,40,21.50,37.00,1
02:40:45,0,44,21.50,37.00,1
02:40:46,0,40,21.50,37.00,1
02:40:47,0,44,21.50,37.00,1
02:40:48,0,41,21.50,37.00,1
02:40:49,0,44,21.50,37.00,1
02:40:50,0,40,21.50,37.00,1
02:40:51,0,44,21.50,37.00,1
02:40:52,0,41,21.50,37.00,1
02:40:53,0,44,21.50,37.00,1
02:40:54,0,40,21.50,37.00,1
02:40:55,0,44,21.50,37.00,1
02:40:56,0,41,21.50,37.00,1
02:40:57,0,44,21.50,37.00,1
02:40:59,0,40,21.50,37.00,1
02:41:00,0,44,21.50,37.00,1
02:41:01,0,41,21.50,37.00,1
