Time,Movement,Light,Temprature,Humidity,Sound
06:38:04,0,691,21.50,43.00,0
06:38:05,0,691,21.50,43.00,0
06:38:06,0,691,21.50,43.00,0
06:38:07,0,691,21.50,43.00,0
06:38:08,0,690,21.50,43.00,0
06:38:09,0,691,21.50,43.00,0
06:38:10,0,690,21.50,43.00,0
06:38:11,0,690,21.50,43.00,0
06:38:12,0,690,21.50,43.00,0
06:38:13,0,690,21.50,43.00,0
06:38:14,0,689,21.50,43.00,0
06:38:15,0,689,21.50,43.00,0
06:38:16,0,689,21.50,43.00,0
06:38:17,0,689,21.50,43.00,0
06:38:18,0,688,21.50,43.00,0
06:38:19,0,688,21.50,43.00,0
06:38:20,0,688,21.50,43.00,0
06:38:21,0,688,21.50,43.00,0
06:38:22,0,687,21.50,43.00,0
06:38:23,0,687,21.50,43.00,0
06:38:24,0,687,21.50,43.00,0
06:38:25,0,687,21.50,43.00,0
06:38:26,0,686,21.50,43.00,0
06:38:27,0,686,21.50,43.00,0
06:38:28,0,686,21.50,43.00,0
06:38:30,0,686,21.50,43.00,0
06:38:31,0,685,21.50,43.00,0
06:38:32,0,686,21.50,43.00,0
06:38:33,0,685,21.50,43.00,0
06:38:34,0,685,21.50,43.00,0
06:38:35,0,685,21.50,43.00,0
06:38:36,0,685,21.50,43.00,0
06:38:37,0,684,21.50,43.00,0
06:38:38,0,684,21.50,43.00,0
06:38:39,0,684,21.50,43.00,0
06:38:40,0,684,21.50,43.00,0
06:38:41,0,683,21.50,43.00,0
06:38:42,0,684,21.50,43.00,0
06:38:43,0,683,21.50,43.00,0
06:38:44,0,683,21.50,43.00,0
06:38:45,0,683,21.50,43.00,0
06:38:46,0,683,21.50,43.00,0
06:38:47,0,682,21.50,43.00,0
06:38:48,0,682,21.50,43.00,0
06:38:49,0,682,21.50,43.00,0
06:38:50,0,682,21.50,43.00,0
06:38:51,0,682,21.50,43.00,0
06:38:52,0,682,21.50,43.00,0
06:38:53,0,681,21.50,43.00,0
06:38:54,0,681,21.50,43.00,0
06:38:55,0,681,21.50,43.00,0
06:38:56,0,681,21.50,43.00,0
06:38:57,0,680,21.50,43.00,0
06:38:58,0,681,21.50,43.00,0
06:38:59,0,680,21.50,43.00,0
06:39:00,0,680,21.50,43.00,0
06:39:01,0,680,21.50,43.00,0
06:39:02,0,680,21.50,43.00,0
06:39:03,0,679,21.50,43.00,0
06:39:04,0,679,21.50,43.00,0
06:39:05,0,679,21.50,43.00,0
06:39:06,0,679,21.50,43.00,0
06:39:07,0,678,21.50,43.00,0
06:39:08,0,679,21.50,43.00,0
06:39:09,0,678,21.50,43.00,0
06:39:10,0,678,21.50,43.00,0
06:39:11,0,678,21.50,43.00,0
06:39:12,0,678,21.50,43.00,0
06:39:13,0,677,21.50,43.00,0
06:39:14,0,677,21.50,43.00,0
06:39:15,0,677,21.50,43.00,0
06:39:17,0,677,21.50,43.00,0
06:39:18,0,676,21.50,43.00,0
06:39:19,0,676,21.50,43.00,0
06:39:20,0,676,21.50,43.00,0
06:39:21,0,676,21.50,43.00,0
06:39:22,0,675,21.50,43.00,0
06:39:23,0,675,21.50,43.00,0
06:39:24,0,675,21.50,43.00,0
06:39:25,0,675,21.50,43.00,0
06:39:26,0,674,21.50,43.00,0
06:39:27,0,674,21.50,43.00,0
06:39:28,0,674,21.50,43.00,0
06:39:29,0,674,21.50,43.00,0
06:39:30,0,673,21.50,43.00,0
06:39:31,0,673,21.50,43.00,0
06:39:32,0,673,21.50,43.00,0
06:39:33,0,673,21.50,43.00,0
06:39:34,0,672,21.50,43.00,0
06:39:35,0,672,21.50,43.00,0
06:39:36,0,672,21.50,43.00,0
06:39:37,0,672,21.50,43.00,0
06:39:38,0,671,21.50,43.00,0
06:39:39,0,671,21.50,43.00,0
06:39:40,0,671,21.50,43.00,0
06:39:41,0,671,21.50,43.00,0
06:39:42,0,670,21.50,43.00,0
06:39:43,0,670,21.50,43.00,0
06:39:44,0,670,21.50,43.00,0
06:39:45,0,670,21.50,43.00,0
06:39:46,0,669,21.50,43.00,0
06:39:47,0,670,21.50,43.00,0
06:39:48,0,669,21.50,43.00,0
06:39:49,0,669,21.50,43.00,0
06:39:50,0,669,21.50,43.00,0
06:39:51,0,669,21.50,43.00,0
06:39:52,0,668,21.50,43.00,0
06:39:53,0,668,21.50,43.00,0
06:39:54,0,668,21.50,43.00,0
06:39:55,0,668,21.50,43.00,0
06:39:56,0,667,21.50,43.00,0
06:39:57,0,667,21.50,43.00,0
06:39:58,0,667,21.50,43.00,0
06:39:59,0,667,21.50,43.00,0
06:40:00,0,666,21.50,43.00,0
06:40:01,0,666,21.50,43.00,0
06:40:02,0,666,21.50,43.00,0
06:40:04,0,666,21.50,43.00,0
06:40:05,0,666,21.50,43.00,0
06:40:06,0,666,21.50,43.00,0
06:40:07,0,665,21.50,43.00,0
06:40:08,0,665,21.50,43.00,0
06:40:09,0,665,21.50,43.00,0
06:40:10,0,665,21.50,43.00,0
06:40:11,0,664,21.50,43.00,0
06:40:12,0,664,21.50,43.00,0
06:40:13,0,664,21.50,43.00,0
06:40:14,0,664,21.50,43.00,0
06:40:15,0,663,21.50,43.00,0
06:40:16,0,664,21.50,43.00,0
06:40:17,0,663,21.50,43.00,0
06:40:18,0,663,21.50,43.00,0
06:40:19,0,663,21.50,43.00,0
06:40:20,0,663,21.50,43.00,0
06:40:21,0,662,21.50,43.00,0
06:40:22,0,662,21.50,43.00,0
06:40:23,0,662,21.50,43.00,0
06:40:24,0,662,21.50,43.00,0
06:40:25,0,661,21.50,43.00,0
06:40:26,0,661,21.50,43.00,0
06:40:27,0,661,21.50,43.00,0
06:40:28,0,661,21.50,43.00,0
06:40:29,0,660,21.50,43.00,0
06:40:30,0,661,21.50,43.00,0
06:40:31,0,660,21.50,43.00,0
06:40:32,0,660,21.50,43.00,0
06:40:33,0,660,21.50,43.00,0
06:40:34,0,660,21.50,43.00,0
06:40:35,0,659,21.50,43.00,0
06:40:36,0,659,21.50,43.00,0
06:40:37,0,659,21.50,43.00,0
06:40:38,0,659,21.50,43.00,0
06:40:39,0,659,21.50,43.00,0
06:40:40,0,659,21.50,43.00,0
06:40:41,0,658,21.50,43.00,0
06:40:42,0,658,21.50,43.00,0
06:40:43,0,658,21.50,43.00,0
06:40:44,0,658,21.50,43.00,0
06:40:45,0,658,21.50,43.00,0
06:40:46,0,658,21.50,43.00,0
